Epoch,Training_Loss,Learning_Rate
1,0.06658152,1e-06
2,0.06374183,1e-06
3,0.05866602,1e-06
4,0.049609,1e-06
5,0.03514695,1e-06
6,0.018477842,1e-06
7,0.014940632,1e-06
8,0.009252936,1e-06
9,0.0029481046,1e-06
10,0.0015570192,1e-06
11,0.0038428495,1e-06
12,0.00416097,1e-06
13,0.0017033322,1e-06
14,0.00053799356,1e-06
15,0.0005491849,1e-06
16,0.0007436204,1e-06
17,0.0004964557,1e-06
18,0.00036793016,1e-06
19,0.00032603997,1e-06
20,0.00020348669,1e-06
21,0.00013622532,1e-06
22,0.00012621311,1e-06
23,0.00010629267,1e-06
24,7.429851e-05,1e-06
25,8.083451e-05,1e-06
26,9.177422e-05,1e-06
27,7.682658e-05,1e-06
28,5.799774e-05,1e-06
29,5.2076677e-05,1e-06
30,5.841391e-05,1e-06
31,5.9390775e-05,1e-06
32,5.251031e-05,1e-06
33,4.9377853e-05,1e-06
34,5.0415605e-05,1e-06
35,5.0424216e-05,1e-06
36,4.870495e-05,1e-06
37,4.668369e-05,1e-06
38,4.5621713e-05,1e-06
39,4.4993827e-05,1e-06
40,4.4493627e-05,1e-06
41,4.4403987e-05,1e-06
42,4.419507e-05,1e-06
43,4.3691205e-05,1e-06
44,4.308995e-05,1e-06
45,4.238712e-05,1e-06
46,4.1573254e-05,1e-06
47,4.0838844e-05,1e-06
48,4.0397834e-05,1e-06
49,4.0132407e-05,1e-06
50,3.9807128e-05,1e-06
51,3.9351253e-05,1e-06
52,3.8810133e-05,1e-06
53,3.825526e-05,1e-06
54,3.772749e-05,1e-06
55,3.7235754e-05,1e-06
56,3.6781745e-05,1e-06
57,3.6357367e-05,1e-06
58,3.5942165e-05,1e-06
59,3.5507834e-05,1e-06
60,3.5051573e-05,1e-06
61,3.459184e-05,1e-06
62,3.415262e-05,1e-06
63,3.3729895e-05,1e-06
64,3.331008e-05,1e-06
65,3.2891046e-05,1e-06
66,3.2477652e-05,1e-06
67,3.2075062e-05,9.4999996e-07
68,3.1598025e-05,9.4999996e-07
69,3.122308e-05,9.4999996e-07
70,3.0864652e-05,9.4999996e-07
71,3.0507252e-05,9.4999996e-07
72,3.0140596e-05,9.4999996e-07
73,2.9779758e-05,9.4999996e-07
74,2.9430092e-05,9.4999996e-07
75,2.9092897e-05,9.4999996e-07
76,2.8755661e-05,9.4999996e-07
77,2.8419525e-05,9.4999996e-07
78,2.808713e-05,9.4999996e-07
79,2.7760296e-05,9.4999996e-07
80,2.7441223e-05,9.4999996e-07
81,2.7127273e-05,9.4999996e-07
82,2.6816104e-05,9.4999996e-07
83,2.651186e-05,9.4999996e-07
84,2.620997e-05,9.4999996e-07
85,2.5916981e-05,9.4999996e-07
86,2.5623913e-05,9.4999996e-07
87,2.5336793e-05,9.4999996e-07
88,2.5055791e-05,9.4999996e-07
89,2.4779643e-05,9.4999996e-07
90,0.00026190592,9.4999996e-07
91,0.00020477257,9.4999996e-07
92,0.00018682826,9.4999996e-07
93,0.00017431489,9.4999996e-07
94,0.00015242625,9.4999996e-07
95,0.00012080936,9.4999996e-07
96,0.00012078899,9.4999996e-07
97,0.00010016828,9.4999996e-07
98,8.698137e-05,9.4999996e-07
99,7.862389e-05,9.4999996e-07
100,7.212112e-05,9.4999996e-07
101,6.1668e-05,9.4999996e-07
102,5.6692897e-05,9.4999996e-07
103,5.314387e-05,9.4999996e-07
104,4.8267713e-05,9.4999996e-07
105,4.4428787e-05,9.4999996e-07
106,4.24163e-05,9.4999996e-07
107,4.019341e-05,9.4999996e-07
108,3.769878e-05,9.4999996e-07
