String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
Gy,485,515,[2],[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.485,0.515,1
(Gx),196,804,[1],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.196,0.804,1
(Gi),1000,0,[3],[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,1
(Gx)Gy,480,520,"[1, 2]",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.48,0.52,2
(Gi)^2,1000,0,"[3, 3]",[3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,2
(Gi)Gy,513,487,"[3, 2]",[3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.513,0.487,2
Gy(Gi),509,491,"[2, 3]",[2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.509,0.491,2
Gy(Gx),492,508,"[2, 1]",[2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.492,0.508,2
GxGx,405,595,"[1, 1]",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.405,0.595,2
GyGy,0,1000,"[2, 2]",[2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,2
Gy(Gi)^2,485,515,"[2, 3, 3]",[2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.485,0.515,3
Gy(Gx)Gy,0,1000,"[2, 1, 2]",[2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,3
GyGy(Gi),0,1000,"[2, 2, 3]",[2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,3
GyGyGy,523,477,"[2, 2, 2]",[2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.523,0.477,3
GyGy(Gx),815,185,"[2, 2, 1]",[2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.815,0.185,3
GyGxGx,466,534,"[2, 1, 1]",[2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.466,0.534,3
Gy(Gi)Gy,0,1000,"[2, 3, 2]",[2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,3
(Gx)GxGx,950,50,"[1, 1, 1]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.95,0.05,3
(Gi)GxGx,418,582,"[3, 1, 1]",[3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.418,0.582,3
GxGxGy,500,500,"[1, 1, 2]",[1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.5,0.5,3
(GiGyGx),502,498,"[3, 2, 1]",[3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.502,0.498,3
GxGx(Gi),398,602,"[1, 1, 3]",[1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.398,0.602,3
(Gi)^2Gy,494,506,"[3, 3, 2]",[3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.494,0.506,3
(Gi)^2GxGx,384,616,"[3, 3, 1, 1]",[3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.384,0.616,4
(GiGxGx)Gy,498,502,"[3, 1, 1, 2]",[3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.498,0.502,4
GxGx(Gi)^2,407,593,"[1, 1, 3, 3]",[1 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.407,0.593,4
GyGy(Gy)Gy,1000,0,"[2, 2, 2, 2]",[2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,4
GyGy(Gi)^2,0,1000,"[2, 2, 3, 3]",[2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,4
Gy(Gx)^2Gy,0,1000,"[2, 1, 1, 2]",[2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,4
(Gi)^4,1000,0,"[3, 3, 3, 3]",[3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,4
Gy(Gi)^2Gy,0,1000,"[2, 3, 3, 2]",[2 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,4
(GiGyGx)Gy,0,1000,"[3, 2, 1, 2]",[3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,4
Gy(Gx)GxGx,484,516,"[2, 1, 1, 1]",[2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.484,0.516,4
GyGy(Gx)Gy,518,482,"[2, 2, 1, 2]",[2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.518,0.482,4
Gy(GiGyGx),813,187,"[2, 3, 2, 1]",[2 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.813,0.187,4
GxGx(Gx)Gy,484,516,"[1, 1, 1, 2]",[1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.484,0.516,4
GxGxGxGx,42,958,"[1, 1, 1, 1]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.042,0.958,4
GyGy(Gi)Gy,512,488,"[2, 2, 3, 2]",[2 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.512,0.488,4
GyGyGxGx,602,398,"[2, 2, 1, 1]",[2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.602,0.398,4
GxGx(Gy)Gy,597,403,"[1, 1, 2, 2]",[1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.597,0.403,4
GxGx(Gi)Gy,480,520,"[1, 1, 3, 2]",[1 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.48,0.52,4
Gy(Gi)GxGx,513,487,"[2, 3, 1, 1]",[2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.513,0.487,4
(GiGyGx)GxGx,497,503,"[3, 2, 1, 1, 1]",[3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.497,0.503,5
(Gi)^4Gy,504,496,"[3, 3, 3, 3, 2]",[3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.504,0.496,5
Gy(Gi)^4,496,504,"[2, 3, 3, 3, 3]",[2 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.496,0.504,5
(GiGxGx)GxGx,34,966,"[3, 1, 1, 1, 1]",[3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.034,0.966,5
GxGx(GiGyGx),864,136,"[1, 1, 3, 2, 1]",[1 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.864,0.136,5
Gy(GiGxGx)Gy,0,1000,"[2, 3, 1, 1, 2]",[2 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,5
Gy(GiGyGx)Gy,540,460,"[2, 3, 2, 1, 2]",[2 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.54,0.46,5
GyGy(Gy)^2Gy,504,496,"[2, 2, 2, 2, 2]",[2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.504,0.496,5
Gy(GxGxGy)Gy,520,480,"[2, 1, 1, 2, 2]",[2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.52,0.48,5
GyGy(GiGyGx),483,517,"[2, 2, 3, 2, 1]",[2 2 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.483,0.517,5
