Epoch,Training_Loss,Validation_Loss
1,0.006847244,0.040559597
2,0.006687852,0.04014234
3,0.006532346,0.03972003
4,0.006378372,0.039296955
5,0.0062268754,0.03887565
6,0.006078538,0.038455427
7,0.0059333737,0.03803705
8,0.0057915496,0.03762226
9,0.0056531774,0.037211336
10,0.005518263,0.03680442
11,0.005387037,0.03640194
12,0.005259818,0.036003888
13,0.005136163,0.035610862
14,0.0050159157,0.035223216
15,0.004899001,0.034840643
16,0.0047854423,0.034463324
17,0.0046751965,0.03409142
18,0.0045681773,0.03372524
19,0.004464316,0.0333648
20,0.004363549,0.03300947
21,0.0042658364,0.03265977
22,0.0041711167,0.032315876
23,0.004079384,0.031977564
24,0.0039904355,0.031644143
25,0.0039038048,0.031315837
26,0.0038198866,0.030993171
27,0.0037385887,0.030676138
28,0.0036599077,0.030364718
29,0.003583675,0.030058794
30,0.0035097382,0.02975833
31,0.0034381435,0.029463321
32,0.0033689053,0.029173616
33,0.003301633,0.028888917
34,0.0032364225,0.028609473
35,0.0031733026,0.028334398
36,0.0031109732,0.028060518
37,0.0030492316,0.027790021
38,0.0029890474,0.027523164
39,0.0029305513,0.027260192
40,0.0028737388,0.027001258
41,0.002818575,0.02674651
42,0.0027650772,0.026496068
43,0.0027132395,0.026250113
44,0.0026630256,0.026008597
45,0.002614396,0.025771447
46,0.0025673527,0.025538644
47,0.0025218194,0.02531012
48,0.0024777104,0.025085803
49,0.00243501,0.02486572
50,0.0023936797,0.02464983
51,0.0023536768,0.024437968
52,0.0023149536,0.024230413
53,0.002277473,0.024026942
54,0.0022411605,0.023827396
55,0.002206006,0.023631752
56,0.0021718154,0.02344033
57,0.0021385436,0.023253206
58,0.0021062908,0.02306976
59,0.0020749976,0.022889987
60,0.0020446035,0.022713795
61,0.002014987,0.022541113
62,0.001986252,0.022371884
63,0.0019583828,0.022206072
64,0.0019313716,0.0220436
65,0.0019051835,0.021884404
66,0.0018797964,0.02172842
67,0.0018551748,0.021575607
68,0.0018312375,0.0214259
69,0.0018080211,0.021279044
70,0.0017855001,0.021134999
71,0.0017636548,0.020993343
72,0.0017424518,0.020854484
73,0.0017218404,0.02071844
74,0.0017017626,0.020585138
75,0.001682248,0.0204545
76,0.0016633058,0.020326559
77,0.0016449518,0.020201245
78,0.0016270085,0.020078411
79,0.0016095082,0.019957956
80,0.0015924604,0.019839916
81,0.0015759286,0.01972416
82,0.0015599091,0.019610763
83,0.001544295,0.019499589
84,0.0015290743,0.01939059
85,0.0015141637,0.01928373
86,0.0014995686,0.01917895
87,0.001485339,0.019076213
88,0.0014714429,0.018975468
89,0.0014578524,0.018876497
90,0.0014445833,0.018779328
91,0.0014316309,0.018684044
92,0.0014189613,0.018590607
93,0.0014065511,0.018498976
94,0.0013943668,0.018409219
95,0.0013824881,0.018321164
96,0.0013708486,0.018234499
97,0.0013594604,0.018149402
98,0.0013482921,0.018065877
99,0.0013373303,0.017983828
100,0.0013265903,0.017903209
101,0.013353763,0.017726762
102,0.0126713235,0.01713068
103,0.0118284,0.016367067
104,0.01096289,0.015578965
105,0.010139279,0.014824514
106,0.009388547,0.014132351
107,0.008715123,0.013504102
108,0.00811261,0.012942327
109,0.0075829206,0.012447074
110,0.007119108,0.012012487
111,0.0067122537,0.011631358
112,0.0063543483,0.01129615
113,0.0060381987,0.0110003315
114,0.005758602,0.010738961
115,0.0055098543,0.010506403
116,0.005286908,0.01029743
117,0.005085735,0.010108742
118,0.004902348,0.009937174
119,0.004734274,0.009779899
120,0.0045793634,0.0096348915
121,0.004435677,0.009500372
122,0.004302345,0.009373255
123,0.004177817,0.00925177
124,0.0040610703,0.009137388
125,0.0039512194,0.009029428
126,0.0038470458,0.008927257
127,0.0037454437,0.008828433
128,0.0036483048,0.008733288
129,0.0035555207,0.008641767
130,0.0034669207,0.008553748
131,0.0033822907,0.008469007
132,0.0033011902,0.008387299
133,0.0032236525,0.008308677
134,0.0031494505,0.00823275
135,0.0030782481,0.008159434
136,0.0030097805,0.008087943
137,0.002943399,0.008016527
138,0.0028791456,0.007946699
139,0.002816995,0.007877526
140,0.0027568412,0.007809612
141,0.0026987973,0.0077432217
142,0.0026429002,0.00767858
143,0.0025891007,0.007615744
144,0.0025376694,0.0075545036
145,0.0024880115,0.007494578
146,0.0024400253,0.007435701
147,0.0023938166,0.0073784254
148,0.002349427,0.0073232264
149,0.0023054238,0.0072688097
150,0.00226221,0.007215061
151,0.0022201436,0.007162827
152,0.002178939,0.0071116225
153,0.002138868,0.0070613814
154,0.0021001128,0.0070122443
155,0.0020627738,0.0069642905
156,0.0020272257,0.0069171386
157,0.0019933525,0.0068707294
158,0.001960829,0.0068252143
159,0.0019296412,0.006780726
160,0.0018995138,0.0067373556
161,0.0018705803,0.0066949893
162,0.0018426492,0.0066535855
163,0.0018157257,0.006612028
164,0.0017892179,0.006570285
165,0.0017633078,0.006529498
166,0.0017381059,0.0064898697
167,0.0017136596,0.006451299
168,0.0016898097,0.006413804
169,0.0016654204,0.0063766697
170,0.0016408134,0.0063404255
171,0.0016164694,0.0063050673
172,0.0015926274,0.0062706075
173,0.001569418,0.0062370407
174,0.0015469138,0.0062043243
175,0.0015251713,0.0061724475
176,0.0015041882,0.006141623
177,0.00148386,0.0061121956
178,0.0014647507,0.0060846
179,0.001446313,0.0060572615
180,0.0014285299,0.0060297344
181,0.0014113975,0.0060023074
182,0.00139501,0.005975317
183,0.001379116,0.005948605
184,0.0013636737,0.0059224796
185,0.0013485746,0.005896947
186,0.001333616,0.0058720578
187,0.0013190302,0.0058477875
188,0.0013049076,0.00582412
189,0.0012912599,0.005801045
190,0.00127819,0.0057784775
191,0.0012655227,0.00575641
192,0.0012531173,0.00573485
193,0.0012410621,0.0057138195
194,0.0012293493,0.0056932974
195,0.0012179739,0.0056732874
196,0.0012070294,0.005654044
197,0.0011964128,0.0056358995
198,0.0011861896,0.005618513
199,0.0011762751,0.0056014676
200,0.0011666361,0.005584798
201,0.035912037,0.0055137533
202,0.034612678,0.005213955
203,0.033220842,0.004848943
204,0.03184672,0.0044809347
205,0.030635407,0.0041361293
206,0.029540837,0.0038129205
207,0.028579766,0.0035036746
208,0.027707785,0.0032219628
209,0.026872396,0.0029694515
210,0.026082484,0.0027452828
211,0.025253057,0.0025428005
212,0.024390973,0.0023576415
213,0.023516184,0.002187085
214,0.02264285,0.0020370197
215,0.021833265,0.0019113664
216,0.021072209,0.0018033921
217,0.020394316,0.0017125518
218,0.01981794,0.0016344391
219,0.019311715,0.0015664223
220,0.018875476,0.0015052437
221,0.018486224,0.0014475317
222,0.018128114,0.0013943749
223,0.01779184,0.0013447799
224,0.01744836,0.0012989732
225,0.01710384,0.001257369
226,0.016751593,0.0012189717
227,0.016385602,0.0011870089
228,0.01600501,0.0011633275
229,0.015629794,0.0011464867
230,0.015243959,0.0011347078
231,0.014868307,0.0011267792
232,0.014507723,0.0011200851
233,0.01414876,0.0011134894
234,0.01381584,0.0011050742
235,0.013474316,0.0010944498
236,0.013174459,0.0010818074
237,0.0128741255,0.0010670229
238,0.012584652,0.0010504402
239,0.012322665,0.0010332924
240,0.012065171,0.0010160947
241,0.011832789,0.0009988201
242,0.011609234,0.0009817381
243,0.011390562,0.00096277037
244,0.011191218,0.0009435891
245,0.010992055,0.00092548714
246,0.010803836,0.00090746273
247,0.0106218,0.0008898594
248,0.010447926,0.00087253685
249,0.010274,0.0008554482
250,0.0101134,0.00083899376
251,0.009946589,0.00082303653
252,0.009780733,0.0008072262
253,0.009624894,0.0007913069
254,0.009445513,0.00077519985
255,0.009266983,0.00075902353
256,0.009081445,0.0007432636
257,0.008896894,0.00072791515
258,0.008712951,0.00071303244
259,0.008519885,0.00069923885
260,0.008327195,0.0006867443
261,0.008132412,0.000675211
262,0.00793397,0.0006644767
263,0.0077383076,0.00065482716
264,0.0075445115,0.0006465289
265,0.0073477738,0.0006396076
266,0.007152825,0.00063354825
267,0.0069588777,0.0006281621
268,0.006773448,0.00062348694
269,0.006593267,0.00061955577
270,0.0064156675,0.00061655714
271,0.0062504,0.0006144807
272,0.006103869,0.00061271625
273,0.0059673763,0.0006113095
274,0.005847842,0.00060988363
275,0.005738594,0.000608297
276,0.005639382,0.0006065828
277,0.0055475594,0.0006046476
278,0.005458671,0.0006026224
279,0.005370518,0.0006010086
280,0.005288175,0.00059946586
281,0.005209679,0.00059820473
282,0.0051371395,0.0005969933
283,0.0050663925,0.00059571135
284,0.0049997196,0.0005943572
285,0.004934166,0.0005929344
286,0.004868768,0.0005914921
287,0.004806416,0.00059011683
288,0.0047418713,0.0005889814
289,0.004681494,0.00058782456
290,0.00462126,0.000586691
291,0.004563152,0.00058553164
292,0.0045075566,0.00058436446
293,0.004450343,0.00058338855
294,0.004396176,0.00058239367
295,0.0043419343,0.00058137527
296,0.0042888154,0.000580312
297,0.004236207,0.00057923
298,0.0041931407,0.00057835196
299,0.0041527287,0.00057684624
300,0.004112512,0.0005746372
