Epoch,Training_Loss,Validation_Loss
1,"tf.Tensor(0.17836721, shape=(), dtype=float32)","tf.Tensor(0.18895106, shape=(), dtype=float32)"
2,"tf.Tensor(0.17375398, shape=(), dtype=float32)","tf.Tensor(0.15689391, shape=(), dtype=float32)"
3,"tf.Tensor(0.16397175, shape=(), dtype=float32)","tf.Tensor(0.18113498, shape=(), dtype=float32)"
4,"tf.Tensor(0.14897491, shape=(), dtype=float32)","tf.Tensor(0.18449344, shape=(), dtype=float32)"
5,"tf.Tensor(0.14754839, shape=(), dtype=float32)","tf.Tensor(0.1734919, shape=(), dtype=float32)"
6,"tf.Tensor(0.14036547, shape=(), dtype=float32)","tf.Tensor(0.16169938, shape=(), dtype=float32)"
7,"tf.Tensor(0.13657545, shape=(), dtype=float32)","tf.Tensor(0.16672584, shape=(), dtype=float32)"
8,"tf.Tensor(0.12948285, shape=(), dtype=float32)","tf.Tensor(0.17110014, shape=(), dtype=float32)"
9,"tf.Tensor(0.12643135, shape=(), dtype=float32)","tf.Tensor(0.1736518, shape=(), dtype=float32)"
10,"tf.Tensor(0.11998146, shape=(), dtype=float32)","tf.Tensor(0.17011893, shape=(), dtype=float32)"
11,"tf.Tensor(0.116370276, shape=(), dtype=float32)","tf.Tensor(0.17585258, shape=(), dtype=float32)"
12,"tf.Tensor(0.11237902, shape=(), dtype=float32)","tf.Tensor(0.17740531, shape=(), dtype=float32)"
13,"tf.Tensor(0.10909004, shape=(), dtype=float32)","tf.Tensor(0.1659617, shape=(), dtype=float32)"
14,"tf.Tensor(0.10448853, shape=(), dtype=float32)","tf.Tensor(0.16008799, shape=(), dtype=float32)"
15,"tf.Tensor(0.10183961, shape=(), dtype=float32)","tf.Tensor(0.16153292, shape=(), dtype=float32)"
16,"tf.Tensor(0.09943107, shape=(), dtype=float32)","tf.Tensor(0.15859948, shape=(), dtype=float32)"
17,"tf.Tensor(0.09668879, shape=(), dtype=float32)","tf.Tensor(0.16076545, shape=(), dtype=float32)"
18,"tf.Tensor(0.094810136, shape=(), dtype=float32)","tf.Tensor(0.16515246, shape=(), dtype=float32)"
19,"tf.Tensor(0.09282975, shape=(), dtype=float32)","tf.Tensor(0.16138308, shape=(), dtype=float32)"
20,"tf.Tensor(0.09028703, shape=(), dtype=float32)","tf.Tensor(0.16205168, shape=(), dtype=float32)"
21,"tf.Tensor(0.08839262, shape=(), dtype=float32)","tf.Tensor(0.16574818, shape=(), dtype=float32)"
22,"tf.Tensor(0.08697313, shape=(), dtype=float32)","tf.Tensor(0.16272736, shape=(), dtype=float32)"
23,"tf.Tensor(0.08551835, shape=(), dtype=float32)","tf.Tensor(0.16567759, shape=(), dtype=float32)"
